,title,audience_score,number_of_audience_ratings
0,A Hard Day's Night (1964),89,50067
1,Logan (2017),91,86540
2,Rosemary's Baby (1968),87,72669
3,On the Waterfront (1954),95,51664
4,Open City (1946),92,6128
5,Arrival (2016),82,78740
6,Seven Samurai (Shichinin no Samurai) (1956),97,90049
7,Toy Story (1995),92,1107731
8,The Wizard of Oz (1939),89,874425
9,Alien (1979),94,457186
10,Snow White and the Seven Dwarfs (1937),78,469510
11,The Battle of Algiers (La Battaglia di Algeri) (1967),95,14267
12,Zootopia (2016),92,98633
13,12 Angry Men (Twelve Angry Men) (1957),97,103672
14,The Maltese Falcon (1941),91,57268
15,Man on Wire (2008),87,29827
16,Jaws (1975),90,942217
17,Spotlight (2015),93,68142
18,La La Land (2016),82,67325
19,Boyhood (2014),81,88478
20,The Adventures of Robin Hood (1938),89,33584
21,It Happened One Night (1934),93,33106
22,The Dark Knight (2008),94,1827436
23,Apocalypse Now (1979),94,284606
24,"The Godfather, Part II (1974)",97,409574
25,Battleship Potemkin (1925),85,18709
26,High Noon (1952),89,25065
27,The Philadelphia Story (1940),93,46810
28,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",87,47463
29,Manchester by the Sea (2016),77,48189
30,12 Years a Slave (2013),90,138789
31,Psycho (1960),94,238259
32,Gone With the Wind (1939),93,292794
33,Tokyo Story (Tôkyô monogatari) (1953),93,11325
34,The Night of the Hunter (1955),90,24322
35,Modern Times (1936),95,39736
36,All Quiet on the Western Front (1930),89,17768
37,Up (2009),90,1201878
38,A Streetcar Named Desire (1951),90,54761
39,Inside Out (2015),89,133558
40,La Grande illusion (Grand Illusion) (1938),92,11490
41,Sunset Boulevard (1950),95,52783
42,The Conformist (1970),91,8529
43,Rebecca (1940),92,39026
44,Gravity (2013),80,301261
45,The Last Picture Show (1971),90,13893
46,Finding Nemo (2003),86,33355673
47,The 39 Steps (1935),86,23647
48,North by Northwest (1959),94,78793
49,Laura (1944),91,10481
50,Star Trek (2009),91,746458
51,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),89,27163
52,Harry Potter and the Deathly Hallows - Part 2 (2011),89,389431
53,Argo (2012),90,207373
54,Vertigo (1958),93,101454
55,Roman Holiday (1953),94,62895
56,Moonlight (2016),80,41956
57,"The Good, the Bad and the Ugly (1966)",97,238420
58,Taxi Driver (1976),93,258405
59,Get Out (2017),87,63837
60,King Kong (1933),86,89669
61,Toy Story 3 (2010),89,605098
62,E.T. The Extra-Terrestrial (1982),72,32313030
63,Skyfall (2012),86,372497
64,The Wrestler (2008),88,139795
65,Star Wars: Episode VII - The Force Awakens (2015),89,222789
66,Mad Max: Fury Road (2015),86,123937
67,The Godfather (1972),98,730433
68,Wonder Woman (2017),90,112955
69,Baby Driver (2017),89,48114
70,Toy Story 2 (1999),86,998186
71,Dunkirk (2017),82,53555
72,Repulsion (1965),87,18655
73,The Bride of Frankenstein (1935),87,24471
74,Army of Shadows (L'Armée des ombres) (1969),94,7011
75,Brooklyn (2015),87,45763
76,The Big Sick (2017),90,23391
77,Selma (2015),86,60533
78,All About Eve (1950),94,44564
79,Rear Window (1954),95,149458
80,Pinocchio (1940),72,278682
81,Casablanca (1942),95,355952
82,The Third Man (1949),93,53081
83,L.A. Confidential (1997),94,149772
84,Touch of Evil (1958),92,30867
85,The Babadook (2014),72,37024
86,Singin' in the Rain (1952),95,137643
87,Frankenstein (1931),87,41140
88,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),94,208215
89,The Grapes of Wrath (1940),88,23954
90,Bicycle Thieves (Ladri di biciclette) (1949),94,33723
91,The Treasure of the Sierra Madre (1948),93,25627
92,Rashômon (1951),93,47657
93,Citizen Kane (1941),90,157274
94,Hell or High Water (2016),88,37738
95,M (1931),95,35778
96,Metropolis (1927),92,62018
97,The 400 Blows (Les Quatre cents coups) (1959),94,38368
98,The Wages of Fear (1953),95,8536
99,The Jungle Book (2016),86,92856
